四则题目运算1   67+51+63
四则题目运算155   98+13
四则题目运算156   85-40-36
四则题目运算157   80+79
四则题目运算158   90+26
四则题目运算159   71-61-3
四则题目运算160   97+27+70
四则题目运算161   61-10+79
四则题目运算162   81-5+76
四则题目运算163   72-55
四则题目运算164   15+62-69
四则题目运算165   91-15
四则题目运算166   96+86+34
四则题目运算167   89+36+68
四则题目运算168   39+100
四则题目运算169   76-26
四则题目运算170   0+0+35
四则题目运算171   91+88
四则题目运算172   34-28
四则题目运算173   93-4
四则题目运算174   51+55
四则题目运算175   70+3
四则题目运算176   95+64
四则题目运算177   8+67
四则题目运算178   53-43
四则题目运算179   95-77
四则题目运算180   50-54+13
四则题目运算181   63-41-0
四则题目运算182   4-0+29
四则题目运算183   20+98
四则题目运算184   22+83
四则题目运算185   60-22+61
四则题目运算186   6+62
四则题目运算187   18+96+14
四则题目运算188   98+82
四则题目运算189   63+80+16
四则题目运算190   40+12
四则题目运算191   67+38-50
四则题目运算192   40-15+22
四则题目运算193   36+15
四则题目运算194   31+70-23
四则题目运算195   49+48
四则题目运算196   63-28-15
四则题目运算197   58+52
四则题目运算198   69+20
四则题目运算199   14+77
四则题目运算200   32-1+97
四则题目运算201   91-40
四则题目运算202   4+100+14
四则题目运算203   76-66+62
四则题目运算204   79-43
四则题目运算205   60-41+32
四则题目运算206   76+98-88
四则题目运算207   45+29
四则题目运算208   92+43
四则题目运算209   55-3
四则题目运算210   54+91
四则题目运算211   84+18+73
四则题目运算212   78+22
四则题目运算213   46+28-6
四则题目运算214   15+65
四则题目运算215   86+73+4
四则题目运算216   49+16
四则题目运算217   7+13+18
四则题目运算218   55+87
四则题目运算219   77-47+55
四则题目运算220   35+0
四则题目运算221   46-34
四则题目运算222   11+97
四则题目运算223   34-7
四则题目运算224   62+69-38
四则题目运算225   96+100+44
四则题目运算226   10-4+69
四则题目运算227   66-52+79
四则题目运算228   5+81
四则题目运算229   84+65
四则题目运算230   20+16-16
四则题目运算231   90+1
四则题目运算232   92-36+34
四则题目运算233   17+84-54
四则题目运算234   38+35
四则题目运算235   70-54-11
四则题目运算236   31-21+79
四则题目运算237   89+0
四则题目运算238   67+60
四则题目运算239   51+56
四则题目运算240   12+64
四则题目运算241   80+54
四则题目运算242   65+25
四则题目运算243   62+54
四则题目运算244   24+87
四则题目运算245   59+49+60
四则题目运算246   15-9+35
四则题目运算247   45-73+59
四则题目运算248   79+63-36
四则题目运算249   85-2
四则题目运算250   32-13
四则题目运算251   78-40
四则题目运算252   69+43-98
四则题目运算253   57+44-15
四则题目运算254   96-4+57
四则题目运算255   51+97
四则题目运算256   72+67
四则题目运算257   35-21
四则题目运算258   64-41
四则题目运算259   58+34-64
四则题目运算260   55+91-7
四则题目运算261   22+25-24
四则题目运算262   21+100
四则题目运算263   19+47
四则题目运算264   72+19
四则题目运算265   59+38+60
四则题目运算266   57+44-26
四则题目运算267   69-31-25
四则题目运算268   56-27
四则题目运算269   94-4-88
四则题目运算270   82-64
四则题目运算271   28-8
四则题目运算272   63+69-28
四则题目运算273   98-83
四则题目运算274   59+2
四则题目运算275   79-51+62
四则题目运算276   46+77+16
四则题目运算277   12-29+94
四则题目运算278   39+79-86
四则题目运算279   76-3-66
四则题目运算280   68-32+84
四则题目运算281   29-34+31
四则题目运算282   44+15+93
四则题目运算283   24-43+48
四则题目运算284   98+100
四则题目运算285   75+16
四则题目运算286   29+89
四则题目运算287   58+76+11
四则题目运算288   30+49+26
四则题目运算289   74+98+88
四则题目运算290   84-5
四则题目运算291   70-29
四则题目运算292   78-5
四则题目运算293   65+7
四则题目运算294   91-42+38
四则题目运算295   31+94+68
四则题目运算296   32-4+92
四则题目运算297   67-49
四则题目运算298   5+1
四则题目运算299   31+40+58
四则题目运算300   74+31+53
